	Narracja
13	Na skalistym wzniesieniu śródziemskich wzgórz stoi kapłan-uzdrowiciel w kremowo-złotych szatach, dłonie wyciągnięte ku siedzącemu niżej na kamieniu pacjentowi. Między jego palcami wiruje świetlisty krąg złotobiałej energii — nie wybuch mocy, lecz precyzyjny strumień, dokładnie tyle, ile trzeba, i ani kropli więcej. Na ramieniu pacjenta blednie blizna, otulona delikatnym światłem, a wokół opadają drobne złote iskry niczym pyłek. W krainie łagodnych dolin leczenie jest sztuką cierpliwości, a nie spektaklem — mistrz zielarski zna różnicę lepiej niż każde zaklęcie.
14	Na stalowej belce wysoko nad ulicami Nowej Capenny stoi kobieta z rodziny Riveteers, ciężki dwuręczny klucz-młot przewieszony przez ramię, szelki i skórzane rękawice pobrudzone od niedawnej pracy. Jej postać otacza zanikająca złotawo-czerwona poświata — pozostałość po szybkim przybyciu, moc chwilowej niezwyciężoności, która za sekundę zgaśnie. Poniżej, w blasku neonów art déco, inna ekipa Riveteers właśnie burzy sąsiedni budynek, podczas gdy ten nowy dopiero wznosi żebrowanie czerwonych dźwigarów w niebo. Członkowie Riveteers budują jedną ręką i rozbierają drugą, a ich brygadzistki nie znają różnicy między tymi dwiema rolami.
15	W mrocznej gotyckiej komnacie stoi Tellah z długą siwą brodą, jedną dłonią uniesioną wysoko, z której wyrywa się splot ognia i błyskawic — zaklęcie większe niż on sam. Z drugiej dłoni sypią się w bok świetliste sylwetki towarzyszy — inspiracja, którą przekazuje im w ostatnim momencie swojego życia. Jego ciało pęka bladym światłem przebijającym przez skórę i szaty, bo ciało starego mędrca nie wytrzymuje mocy, którą właśnie uwalnia. Wokół wirują wyrwane strony zgromadzonej przez dekady wiedzy, a kamień posadzki żarzy się pomarańczowo — Wielki Mędrzec Mysidii płaci pełną cenę, by Cecil i Rydia mogli walczyć dalej.
16	W mrocznej zbrojowni na stojaku wisi masywna pełna zbroja płytowa o agresywnych, kanciastych kształtach — napierśnik i naramienniki z ostrymi grzbietami, hełm z wąską szczeliną wizjera bez wyrazu. Ciemnografitowa stal zdobiona złoto-brązowymi geometrycznymi ornamentami nie jest rycerska, lecz gladiatorska — ten, kto ją nosił, taranował, a nie bronił honoru. Pod stojakiem leżą porzucone elementy lżejszej zbroi, jakby ich właściciel zdecydował właśnie, że lżejsza osłona już mu nie wystarczy. Od boku pulsuje pomarańczowa łuna kowalskiego paleniska, które w Starym Świecie nigdy nie gaśnie — zawsze znajdzie się ktoś, kto potrzebuje grubszego metalu między sobą a Wrogiem.
17	Na omszałym nagrobku rozległego cmentarza w porcie Selhoff stoi okultystka w ciemnoniebieskim kaftanie z kapturem, zakrzywiony sztylet rytualny uniesiony w dłoni. Każde jej precyzyjne cięcie w powietrzu sprawia, że bladoniebieska mgła wokół gęstnieje i pulsuje, pochłaniając kolejne warstwy wspomnień z okolicznych grobów. W kłębach tej mgły przeświecają widmowe strzępy obrazów, liter i symboli — wiedza zmarłych, którą każde ostatnie tchnienie karmi nadmorskie opary. Za nią latarnia w Selhoff pali się słabiej niż zwykle, jakby i ona oddawała coś tej, która wie, że mgła nad cmentarzem nigdy nie jest tylko mgłą.
18	Nad torem wyścigowym pikuje aven — ptasi wojownik-kapłan z Amonkhet w ceremonialnych bandażach — wyciągając bandażowane dłonie ku pędzącemu poniżej rydwanowi-gliderowi. Z jego rozpostartych skrzydeł i palców wyrywa się pulsująca magenta-różowa aura, formująca się w lśniącą tarczę wokół pilota. Tam, gdzie iskry i odłamki trafiają w barierę, odbijają się w rozpryskach świetlistej energii — pojazd staje się na moment nietykalny. Kapłan Straży Lotosu nie walczy o zwycięstwo, lecz o to, by nikt nie zginął na jego warcie — strzeżenie w czasach Bolasa i po nim ma tę samą treść.
19	W mrocznej komnacie akademii w Aretuzie elegancka czarodziejka w ciemnozielonej welurowej sukni pochyla się nad żelaznym astrolabium, splatając palce w precyzyjnym geście. Z jej opuszków spływają grube szafirowe nici magicznej energii, oplatając obręcze mechanizmu w pół-obrocie. Po jednej stronie stołu świeca płonie jasnym płomieniem, po drugiej stoi zgaszona, a z jej knota wciąż unosi się pionowa smuga siwego dymu. W szkole czarodziejek małe zaklęcia ważą więcej niż wielkie — obrót astrolabium czy zgaszenie świecy zmienia godzinę rzucenia czaru, a to może przesądzić o bitwie.
20	Na kamiennym dziedzińcu klasztoru Jeskai w górach Tarkiru ork w czerwonych ceremonialnych szatach wykonuje obrotowy skok, dwa zakrzywione ostrza w dłoniach tworzące spiralny wir szkarłatnej energii. Powiewające tkaniny rozkładają się wokół niego jak wachlarz, a z ostrzy sypią się metaliczne drobinki, jakby samo powietrze tarło się o klingi. Za plecami wznoszą się smukłe pagody klasztoru pod skalistymi szczytami spowitymi chmurami, a pęknięcia na płytach pod jego stopami świadczą o sile, z jaką się odbił. Dzika natura orka została zdyscyplinowana przez lata klasztornych ćwiczeń — tnie tak szybko, jak smoki, u których nauki pobierał klan.
21	W głębi zakurzonej świątyni Theros, na spękanym ołtarzu z piaskowca, spoczywa ceramiczna puszka pokryta czarnymi malowidłami meandrów i mitycznych wojowników. Jej wieko jest lekko uniesione, jakby wypychane od środka, a z wnętrza wydostaje się oślepiający snop białego światła zmieszany z fioletowo-czarnymi smugami dymu. W kłębach tej mgły formują się eteryczne kontury bestii — wielogłowe zarysy, poskręcane rogi, dymne szpony — widmowa uwertura czegoś, co za chwilę się zmaterializuje. Po bokach ołtarza sączy się czarna jak tusz substancja, a wydłużone cienie kolumn świadczą, że pyxis otworzył się znów, a bogowie Theros nie przyjdą, by go zamknąć.
22	Na skalistym urwisku nad therosyjskim morzem muskularny wojownik o ogorzałej skórze unosi nad ramieniem ogromny nieregularny głaz wielokrotnie większy od ludzkiego ciała. Przez jego napięte mięśnie przebiega gorąca czerwonawa poświata, a oczy rozżarzają się pomarańczowym blaskiem — dar tytanów wlany chwilowo w śmiertelne ciało. Pod stopami pęka ziemia, wiatr niesie pył, a niebo nad sklepieniem Nyxu ciężkie od chmur burzowych patrzy bez zdumienia. Przez jedno mgnienie zwykły śmiertelnik staje się czymś więcej — bohaterem, którego wyczyn opowiedzą bardowie, zanim tytaniczna moc opuści jego kości.
23	W wiecznie skąpanych w słońcu gajach Gilt-Leaf na planie Lorwyn elficcy tropiciele doskonalą sztukę czytania najsubtelniejszych znaków puszczy. Zwinna zwiadowczyni o rogach z ciemnego drewna i racicach zapartych w mchu z mistrzowską precyzją bada leśne poszycie. Pod dotknięciem jej nasyconej magią dłoni na ścieżce rozbłyskuje świetlisty, szmaragdowy ślad, odsłaniając wędrówkę poszukiwanej leśnej bestii pośród morza innych tropów. Niezrównane zmysły leśnych elfów pozwalają im bezbłędnie wyodrębnić jedno właściwe stworzenie z całego bogactwa nienaruszonej przyrody.
24	Na skraju gotyckiego cmentarza Innistradu wilkołak w połowie transformacji wygina się w łuk, odpychany lodowatą falą księżycowej energii. Na jego pierś uderza pojedynczy snop światła z nienaturalnie wielkiego księżyca, a ciało zaczyna rozpływać się w srebrzysto-błękitne drobiny — wygnanie, nie zniszczenie. Wokół punktu kontaktu wirują spiralne glify, wyrywane z magicznego grymuaru i wsysane w snop światła jako wiedza pozyskana z rytuału. Na Innistradzie księżyc zwykle budzi bestię — dziś odmówił jej prawa do istnienia w ciele.
25	Na spowitych mrokiem traktach prowincji Gavony na planie Innistrad kapłani Kościoła Avacyn posługują się świętą magią, by chronić bezbronnych śmiertelników. Wznosząc ku niebu srebrny symbol Archanioła, nieugięty katar uwalnia potężne więzy z czystego, jarzącego się złotem światła. Podczas gdy święta energia nasyca ludzkiego obrońcę nadnaturalną siłą i odwagą, te same łańcuchy bezlitośnie krępują nacierającą bestię, unieruchamiając jej cielsko na kamiennym bruku. Zgodnie z naukami Przysięgi Avacyn, każde potworne zło, którego nie da się zniszczyć zwykłą stalą, zostaje na zawsze spętane potęgą niezłomnej wiary.
26	W industrialnym Smelting District na Ravnicy ciężka bestia o kamiennej skórze popękanej żarzącymi się szczelinami stoi zaprzęgnięta w żelazne jarzmo, ciągnąc wóz załadowany żużlem i rozżarzonym metalem. Z jej nozdrzy kłębi się gorący dym, a każde miejsce, którego dotknie kopytem, zostawia osmalone wgłębienie na bruku. Dwóch poganiaczy w skórzanych fartuchach prowadzi ją długimi żelaznymi kijami — sama nie ruszy, choć drzemie w niej ogromna siła. Bestia pracuje bo musi, a nie bo chce — typowa umowa Ravnicy między żywym narzędziem a tymi, którzy je zakuli w łańcuchy.
27	W smaganych wiatrem klasztorach Drogi Jeskai na planie Tarkir mnisi i wędrowni mędrcy niestrudzenie poszukują absolutnej przejrzystości umysłu. Stojąc na kamiennym tarasie nad przepaścią, wędrowny mędrzec Zogye wykonuje precyzyjne pchnięcie otwartą dłonią, uwalniając skupiony promień czystej energii. Pod wpływem uderzenia złowroga magiczna klątwa w ułamku sekundy pęka na tysiące nieszkodliwych okruchów, bezpowrotnie znikając z rzeczywistości. Zgodnie z naukami jeskańskich mistrzów, tylko całkowite wymazanie fałszywych iluzji pozwala dostrzec nagą i niezmąconą prawdę o świecie.
28	W rozkołysanej sztormem kajucie okrętu Zuchwałej Koalicji u wybrzeży Ixalanu spoczywa jedno z najcenniejszych trofeów wydartych morskim głębinom. Zaklęte w mosiężną oprawę nawigacyjną oko prastarego krakana pulsuje hipnotycznym, szafirowym blaskiem, odsłaniając w głębi swej źrenicy echo zatopionych na dnie oceanu ruin. Każde rzucenie czaru magii wody w pobliżu artefaktu wyzwala z jego wnętrza kojącą falę energii, przywracającą siły zmęczonym żeglarzom. Nawet najbardziej bezwzględni piraccy kapitanowie z zabobonnym lękiem spoglądają na ten relikt, pamiętając o potwornościach czających się w bezdennych otchłaniach morza.
29	W mrocznym korytarzu Pandemonium z pulsującą obcą roślinnością Garnet w biało-pomarańczowym stroju bojowym dzierży długą halabardę, jej twarz wyraża zaskoczenie i wzruszenie. Wokół niej w obronnym kręgu stoją towarzysze — Zidane z podwójnymi ostrzami u jej boku, Steiner w ciężkiej zbroi z wielkim mieczem, mały Vivi z ognistą aurą wokół dłoni, smukła Freya z włócznią smoczycy — wszyscy zwróceni na zewnątrz przeciw nadciągającym cieniom. Z ich ciał emanuje ciepła złotawo-biała poświata wzajemnego wsparcia, która oplata księżniczkę i rozpala jej halabardę złotym żarem. Córka Alexandrii pojmuje w tym kadrze, że moc, z którą wyruszy dalej, nie rodzi się z jej krwi, lecz z tych, którzy stanęli obok.
30	W podziemnych laboratoriach badawczych TCRI w Nowym Jorku potężne eksperymenty z mutacją nierzadko wymykają się spod jakiejkolwiek kontroli. Gdy gigantyczna i nieprzewidywalna Tokka zaczyna zagrażać miastu, Donatello bez wahania uruchamia zaawansowany protokół kriogenicznej stazy. Pod wpływem lodowatych strumieni sprężonego gazu i magnetycznych pól siłowych potężna bestia zostaje błyskawicznie skuta lodem, zastygając w bezsilnym bezruchu. Choć uwięzienie stworzenia jest dla żółwich bohaterów trudną decyzją, ochrona niewinnych mieszkańców metropolii pozostaje dla nich nadrzędnym obowiązkiem.
31	W głębinach skażonego lasu Tangle, na metalicznej gałęzi pokrytej oleistą zielenią phyrexiańskiej korupcji, z futrzastego ciała małego mirrodińskiego stworzenia wydostają się właśnie dwa potwornie zdeformowane owady. Jeden już stoi na krawędzi tuszy, czułki skierowane w powietrze, drugi przeciska się przez ranę, wyciągając przednie odnóża. Na ich aparatach gębowych lśni jadowicie zielona wydzielina — nośnik zarazy, który odnajdzie kolejny cel. To, co powinno być cyklem życia i śmierci Mirrodinu, zostało przejęte przez obcą siłę, a metaliczny las rodzi teraz to, czego sam nie potrafi zjeść.
32	Na zdradliwych, tropikalnych mieliznach wokół archipelagu Ixalanu spoczywają setki wraków dawnych zbrojnych galeonów. W zbutwiałym, obrośniętym koralowcami kadłubie zatopionego okrętu swoje terytorium uwiła potężna, jaskrawo ubarwiona murena. Błyskawiczny wypad jej muskularnego cielska z pękniętej furty działowej wywołuje podwodną falę uderzeniową, płosząc ławice srebrzystych ryb i rozpraszając spoczywające na dnie skarby. Dla drapieżników morskich głębin szczątki dawnych wypraw stają się idealną kryjówką, zapewniając bezpieczne schronienie i nieustanne źródło pożywienia.
33	Wysoko w koronach pradawnej śródziemskiej puszczy, na rozwidleniu omszałej gałęzi, drobna zielonoskóra elfka przyciska obie dłonie do kory ogromnego drzewa. Z punktów dotyku rozchodzą się szmaragdowo-złote fale empatycznej energii, biegnące przez pień w dół ku korzeniom i dalej przez sieć lasu. W odpowiedzi na to wezwanie, w mglistej głębi między pniami, zarysowuje się monumentalna sylwetka olbrzymiej istoty — grzbiet ponad koronami, masywne kończyny, ziemia drżąca pod ich ciężarem. Drobne istoty puszczy mają swój własny sposób, by przywołać kogoś większego niż wszystkie armie razem wzięte — i kogoś, kto pamięta czasy, gdy drzewa chodziły.
34	W bezlitosnym, wulkanicznym królestwie Immersturm na planie Kaldheim śmierć pradawnych smoków wyzwala niszczycielskie siły natury. Konający skrzydlaty kolos z impetem nurkuje w rozżarzoną gardziel krateru, wywołując potężną erupcję i falę uderzeniową płynnego ognia. Tsunami wrzącej magmy z łatwością przelewa się przez bazaltowe urwiska, w ułamku sekundy pochłaniając i topiąc starożytne runiczne ołtarze. Gdy niszczycielski żywioł zalewa całą dolinę, po pradawnych konstrukcjach nie pozostaje nic poza żarem i dymiącym popiołem.
35	Nad zaniedbanym cmentarzem Eldraine trzepocze w locie drobna wróżka-łotrzyca, jej opalizujące owadzie skrzydła trzymają ją tuż nad pęknięciem w kamiennej płycie nagrobnej. Obie dłonie wróżki zanurzone są w świetlistej mgle wydobywającej się z grobu, a między jej palcami materializuje się półprzezroczysty glifowy wzór — zaklęcie odzyskane z zaświatów. Wokół jej głowy pulsuje delikatne bladozłote halo, kontrastujące z fioletową mgłą i gotyckimi iglicami zamku w tle. W mrocznej stronie Eldraine magia nie umiera — wystarczy wróżka o cierpliwych palcach i wiedzy, gdzie kopać między nagrobkami.
36	Z głębokiej, czarnej rozpadliny wypełnionej oleistą mazią wyrywa się koszmarna asymetryczna kreatura sklecona z lśniącego eteriumu i surowego zardzewiałego żelaza. W jej wnętrzu splątane mosiężne rury i zgrzytające koła zębate napędzają zimną błękitną poświatę, a z pancerza wystają fragmenty pękniętych masek i tarcz — szczątki dawnych wojowników wbudowane w nowy kształt. Potężne metalowe szpony orzą ciemne podłoże, wyrzucając grudy ziemi i odłamki, a w powietrzu wirują rdzawy pył i błękitne iskry. Na pograniczu fragmentów Alary, gdzie Esper spotyka Grixis, ciało przestaje mieć sens — liczy się tylko metal i to, co magia potrafi z niego ulepić.
37	W sercu pradawnego lasu Velen, na omszałym skalnym występie, potężny czarny wilk stoi z głową odchyloną daleko do tyłu w pozie donośnego wycia. Z jego pyska unosi się smuga białej lodowatej pary, a niżej, między sękatymi korzeniami, migoczą setki par żółtych ślepi — reszta sfory odpowiada mu ciszą i obecnością. Księżyc przesiewa się przez gęstwinę gałęzi, rzucając srebrzyste refleksy na sierść wilka i krawędzie liści. W lasach Kontynentu wilki nie atakują po jednym — jak przyjdzie noc, nie przyjdzie jeden wilk.
38	Na dachu zrujnowanej katedry Ravnicy stoi Liliana Vess z dumnie uniesioną głową, jej fioletowe oczy i runiczne tatuaże emanują oślepiającym purpurowym blaskiem. Na spękanym bruku u jej stóp oddziały błękitnych Wiecznych Bolasa padają na kolana lub rozpadają się na tysiące szafirowych odłamków i czarny pył. W powietrzu wirują strzępy purpurowych tkanin, iskry nekrotycznej mocy i dymne smugi układające się w niewyraźne sylwetki pokonanych. Wreszcie, po wiekach paktu, nekromantka używa swojego Welonu przeciwko temu, który ją wynajął — a Ravnica patrzy bez słowa.
39	Na błotnistym polu bitwy wśród połamanych włóczni masywny ciemnozielony ork w zardzewiałej kolczej zbroi zatapia okuty but w grząskim podłożu, rozbryzgując wodę i błoto. Wokół jego napiętych mięśni i oburęcznego topora wirują ostre zygzakowate pasma jaskrawoczerwonej magii Waaagh!, nadając mu nienaturalnie napęczniałą sylwetkę. Za plecami garbaty szaman w futrach wyciąga kościany kostur, z którego płynie ta sama czerwona moc — jeden goblinoid karmi drugiego surową wiarą w przemoc. W Starym Świecie orkowie nie potrzebują strategii, bo mają to, co lepsze — dosłowną wiarę, że większy i głośniejszy zawsze wygrywa.
40	Na kamiennym dziedzińcu katedry w Benalii stoi rycerz w lśniącej złotej zbroi zdobionej motywami witrażowymi, a od stóp spowija go gęsta czarna mgła przypominająca rozlany atrament. Dolna część jego ciała traci już kolory i detale, stając się płaską czarną sylwetką pozbawioną trójwymiaru — jakby ktoś zamalowywał go od dołu nieprzeniknioną czernią. Wciąż trzyma tarczę z symbolem słońca, ale jej krawędzie zaczynają się rozmywać w smugach dymu. W benalijskim chórze toczy się cicha wojna o duszę Dominarii, a czarna magia nie krzyczy — po prostu ściera cię z pamięci.
41	W podziemnej komnacie pod Ravnicą stoi golgaryjska nekromantka o bladoszarej skórze pokrytej chitynowymi naroślami, krzyżując przed sobą dwie ozdobne nożyce rytualne. Między napiętymi ostrzami biegną lśniące bladofioletowe nici życiowej energii — jedna strona prowadzi do drobnego grzybiarza, który spokojnie oddaje swoją witalność, druga zaciska się na ciemnej sylwetce wroga w głębi tunelu. Grzybiarz blaknie i rozmywa się, a skóra nekromantki na moment nabiera cieplejszego odcienia, zanim siła trafi już jako klątwa. W rurach kanalizacyjnych Golgari śmierć nie jest tragedią, lecz obiegiem — a nożyce tylko odcinają to, co pora oddać Grobowcom.
42	Na starym gotyckim cmentarzu Innistradu tuż po zmierzchu stado wielkich kruków osiadło na omszałych nagrobkach i żelaznym ogrodzeniu. Na wilgotnej ziemi leżą puste szaty i srebrna tarcza strażnika, z których unoszą się eteryczne błękitne opary i świetliste symbole — wspomnienia i słowa zmarłego. Jeden z kruków na pierwszym planie trzyma w dziobie taką świecącą smugę, a jego oczy jaśnieją przejętą tajemnicą. W Stensii ptaki cmentarne nie szukają ciał — zabierają to, co unosi się nad nimi, i w tej krainie zawsze znajdą pożywienie.
43	Na skalistym urwisku Zendikaru dwoje kapłanów rasy Kor stoi w porywistym wietrze — kobieta trzyma oburącz ciemny artefakt o nienaturalnych kształtach, mężczyzna wyciąga nad nim dłonie. Z jego palców bije oślepiające białe światło uświęcenia, pod którego dotykiem artefakt pęka i rozsypuje się w pył, natychmiast porywany przez górski wiatr. Ich twarze wyrażają pragmatyczny spokój — nie gniew, nie tryumf, tylko odrzucenie zbędnego balastu. Nad nimi, na burzowym niebie, unoszą się starożytne hedrony Zendikaru, a Kor znowu powtarzają to, co od pokoleń: jeśli nie możesz tego unieść, nie musisz tego nosić.
44	Na krawędzi podziemnego urwiska w Underdark stoi masywny jaszczurczy wojownik w grubym skórzanym kaftanie, hak wspinaczkowy w jednej dłoni i krótka, zatarta maczeta w drugiej. Żółte oczy o pionowych źrenicach świecą słabo w ciemności, oceniając drogę w dół ku gigantycznej kawernie, w której pulsują odległe punkty fioletowej bioluminescencji. Za nim na ścieżce czekają niewyraźne sylwetki reszty grupy — wiedzą, że w podziemiach Faerûnu najpierw schodzi ten, po którym reszta nie boi się wejść. Underdark nie toleruje magicznych sztuczek, tylko haku, liny i instynktu — a ten jaszczur ma wszystkie trzy.
45	We wnętrzu azoriuskiego gmachu Ravnicy mag-urzędnik w biało-niebieskiej todze stoi z rozłożonym pergaminem, nad którym unosi się półprzezroczysta świetlista matryca cienkich linii. Z tej matrycy wychodzą wąskie równoległe promienie uderzające w humanoidalną postać na stopniu — jej dłonie opuszczone, stopy nieruchome, sylwetka zatrzymana światłem zakazu ruchu. Za nią druga postać rozpływa się w drobne białe punkty, znikając w kierunku wysokiego okna, z którego wpada słup kurzu. W Azoriusie walka nie wygląda jak walka — wygląda jak paragraf, który przestaje dotyczyć przeciwnika.
46	Na kamiennym dziedzińcu pod Vitu-Ghazi stoi rycerz Selesnya, unosząc przed sobą okrągłą tarczę z rozjarzonym symbolem drzewa gildii. Z tarczy wystrzelają trzy odrębne strumienie energii — szmaragdowozłoty wir mocy wzmacniającej, oślepiający biały promień zdolny wymazać zagrożenie i łagodne złotobiałe światło formujące u ziemi klęczącą sylwetkę rycerza-strażnika powołaną z czystej wiary. Z krawędzi tarczy wyrastają pędy i listki, bo sama jest żywym organizmem, a nie przedmiotem. Trzy oblicza jednego zaklęcia — wszystkie wypływające z tego samego drzewa, które Ravnica wychowała pod swoim starym placem.
47	Na spokojnym metalicznym krajobrazie Mirrodinu, wśród lśniących sześciokątnych płyt, stoi kapłan rasy leonin o białym futrze i złotej grzywie w ceremonialnych szatach przetykanych stalą. Przed nim leży inertny, ciemny phyrexiański relikt, nad którym leonin wyciąga dłoń, wypuszczając miękkie złote światło uświęcenia. Artefakt bezszelestnie rozpuszcza się w wirujący złoty pył, który unosi się i otula sylwetkę kapłana jak życiodajna chmura. Na skażonym świecie sama obecność tego światła to forma zwycięstwa — Mirrodin nie będzie jeszcze cały, ale przynajmniej dziś jedno skażenie mniej.
